Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plástico,Metais,Vidros,Outros
Mendonça,2022,1640.00,,,,,,
Meridiano,2022,976.90,6.70,1.20,0.60,0.40,0.50,4.00
Mesópolis,2022,168.00,20.00,,,,,
Miguelópolis,2022,10800.00,,,,,,
Miracatu,2022,5441.00,,,,,,
Mira Estrela,2022,1005.00,17.50,6.00,8.00,2.00,1.00,0.50
Mirandópolis,2022,6380.50,211.40,113.10,39.10,26.70,32.50,0.00
Mirante do Paranapanema,2022,3880.00,75.00,30.00,10.00,0.00,8.00,27.00
Mirassol,2022,16836.50,5196.00,3325.00,1559.00,155.00,105.00,52.00
Mirassolândia,2022,1650.00,44.50,8.00,5.00,29.00,2.00,0.50
Mococa,2022,15605.90,,,,,,
Mogi das Cruzes,2022,122673.20,503.80,118.80,104.10,19.40,252.00,9.50
Mogi Guaçu,2022,37681.30,535.30,202.20,144.50,55.10,112.90,20.60
Mogi Mirim,2022,21486.30,169.00,78.00,39.00,19.00,33.00,0.00
Mombuca,2022,1600.00,,,,,,
Monções,2022,1505.00,195.00,38.00,64.00,84.00,6.00,3.00
Mongaguá,2022,25382.00,800.00,,,,,
Monte Alegre do Sul,2022,1746.00,,,,,,
Monte Alto,2022,17030.00,437.00,145.00,92.00,90.00,92.00,18.00
Monte Aprazível,2022,7110.00,80.00,15.00,15.00,30.00,10.00,10.00
Monte Azul Paulista,2022,4226.40,,,,,,
Monteiro Lobato,2022,825.80,,,,,,
Monte Mor,2022,15227.60,,,,,,
Morro Agudo,2022,7221.80,77.80,27.00,19.50,15.00,8.00,8.30
Morungaba,2022,3685.60,334.00,154.00,48.00,27.00,67.00,38.00
Motuca,2022,2400.00,2.00,,,,,
Murutinga do Sul,2022,1454.00,20.40,9.00,2.00,8.00,0.60,0.80
Nantes,2022,1100.00,6.00,,,,,
Narandiba,2022,948.00,90.00,,,,,
Natividade da Serra,2022,2500.00,,,,,,
Nazaré Paulista,2022,6225.10,,,,,,
Neves Paulista,2022,5300.00,,,,,,
Nhandeara,2022,3014.00,,,,,,
Nipoã,2022,2150.00,,,,,,
Nova Aliança,2022,1556.20,39.00,4.30,9.00,10.90,11.70,3.10
Nova Campina,2022,374.40,,,,,,
Nova Canaã Paulista,2022,362.00,4.00,,,,,
Nova Europa,2022,2017.80,,,,,,
Nova Granada,2022,4350.00,,,,,,
Nova Guataporanga,2022,629.00,28.80,15.00,8.30,2.90,1.00,1.60
Nova Independência,2022,1240.00,,,,,,
Novais,2022,1322.80,,,,,,
Nova Luzitânia,2022,727.10,91.00,20.00,20.00,30.00,20.00,1.00
Nova Odessa,2022,17202.70,352.10,234.00,78.20,23.00,15.60,1.30
Novo Horizonte,2022,8884.00,119.00,29.00,18.00,29.00,24.00,19.00
Nuporanga,2022,1900.70,,,,,,
Ocauçu,2022,856.00,40.80,6.00,9.50,15.00,2.00,8.30
Óleo,2022,466.00,36.00,10.80,7.90,1.80,8.30,7.20
Olímpia,2022,50604.00,7.00,1.00,0.00,5.00,0.00,1.00
Onda Verde,2022,2998.00,36.00,10.00,5.00,15.00,6.00,0.00
Oriente,2022,1650.00,5.00,,,,,
Orindiúva,2022,4032.00,307.00,105.00,98.00,62.00,42.00,0.00
Orlândia,2022,13874.50,1348.00,672.00,280.00,110.00,236.00,50.00
Osasco,2022,272512.00,1730.10,679.20,612.80,10.00,428.00,0.10
Oscar Bressane,2022,731.00,,,,,,
Osvaldo Cruz,2022,8564.70,206.00,11.00,17.00,16.00,71.00,91.00
Ourinhos,2022,28604.70,2486.40,,,,,
Ouroeste,2022,2564.50,227.00,96.00,36.00,60.00,18.00,17.00
Ouro Verde,2022,2627.30,39.50,21.30,3.00,2.60,10.60,2.00
Pacaembu,2022,2610.00,64.00,22.00,25.00,7.00,6.00,4.00
Palestina,2022,2704.80,,,,,,
Palmares Paulista,2022,3869.40,16.50,3.00,5.00,4.00,1.50,3.00
Palmeira D Oeste,2022,2150.00,,,,,,
Palmital,2022,4659.80,165.00,35.00,35.00,35.00,35.00,25.00
Panorama,2022,3102.00,140.00,,,,,
Paraguaçu Paulista,2022,8950.00,320.00,77.00,45.00,96.00,57.00,45.00
Paraibuna,2022,3299.60,,,,,,
Paraíso,2022,1650.00,60.00,15.00,20.00,10.00,15.00,0.00
Paranapanema,2022,9715.00,253.00,,,,,
Paranapuã,2022,3488.00,,,,,,
Parapuã,2022,2118.00,6.50,3.00,1.00,1.00,1.00,0.50
Pardinho,2022,2453.40,182.40,39.60,46.80,14.40,21.60,60.00
Pariquera-Açu,2022,3394.50,,,,,,
Parisi,2022,1735.50,,,,,,
Patrocínio Paulista,2022,4078.00,557.00,216.00,196.00,35.00,69.00,41.00
Paulicéia,2022,2060.00,20.00,,,,,
Paulínia,2022,30950.90,1178.10,667.20,306.60,46.70,157.60,0.00
Paulistânia,2022,794.60,139.40,,,,,
Paulo de Faria,2022,4992.00,,,,,,
Pederneiras,2022,7738.00,,,,,,
Pedra Bela,2022,1214.00,60.00,0.00,0.00,0.00,0.00,60.00
Pedranópolis,2022,374.90,,,,,,
Pedreira,2022,11311.00,852.00,430.00,218.00,98.00,94.00,12.00
Pedrinhas Paulista,2022,882.30,140.00,30.00,30.00,30.00,30.00,20.00
Pedro de Toledo,2022,530.00,,,,,,
Penápolis,2022,16746.10,1355.20,394.20,294.40,92.70,299.60,274.30
Pereira Barreto,2022,3500.30,215.00,50.00,50.00,80.00,25.00,10.00
Pereiras,2022,1677.00,,,,,,
Peruíbe,2022,31544.00,27.70,11.60,5.80,2.70,7.40,0.20
Piacatu,2022,1600.00,52.00,52.00,0.00,0.00,0.00,0.00
Piedade,2022,13784.30,30.00,8.00,10.00,5.00,2.00,5.00
Pilar do Sul,2022,5870.00,250.00,,,,,
Pindamonhangaba,2022,41151.00,75.40,16.60,6.00,2.10,5.60,45.10
Pindorama,2022,3510.00,,,,,,
Pinhalzinho,2022,3968.00,105.00,10.00,35.00,50.00,5.00,5.00
Piquerobi,2022,528.00,61.00,20.00,14.00,2.00,7.00,18.00
Piquete,2022,1928.70,,,,,,
Piracaia,2022,7758.40,230.00,103.00,67.00,18.00,42.00,0.00
Piracicaba,2022,185205.60,6120.10,641.40,772.70,389.70,296.30,4020.00
Piraju,2022,7283.20,585.80,307.30,138.70,32.60,102.30,4.90
Pirajuí,2022,4266.30,181.00,87.00,31.00,37.00,13.00,13.00
Pirangi,2022,4327.50,,,,,,
Pirapozinho,2022,11640.60,643.50,397.00,102.00,81.00,42.00,21.50
Pirassununga,2022,13680.00,,,,,,
Piratininga,2022,3482.30,205.80,,,,,
Pitangueiras,2022,15940.00,,,,,,
Planalto,2022,1325.00,,,,,,
Platina,2022,722.00,65.00,30.00,11.00,6.00,10.00,8.00
Poá,2022,31254.00,378.00,,,,,
Poloni,2022,1186.00,75.00,,,,,
Pompéia,2022,5898.20,450.00,296.00,67.00,50.50,36.50,0.00
Pongaí,2022,906.00,175.00,59.00,58.00,37.50,9.50,11.00
Pontal,2022,12780.00,52.70,13.00,14.00,6.70,13.00,6.00
Pontalinda,2022,1305.00,30.00,,,,,
Pontes Gestal,2022,252.00,8.00,0.00,8.00,0.00,0.00,0.00
Populina,2022,800.00,,,,,,
Porangaba,2022,2654.00,39.00,12.00,9.00,4.00,9.00,5.00
Porto Feliz,2022,15884.10,419.70,169.70,170.00,44.00,36.00,0.00
Porto Ferreira,2022,15832.00,,,,,,
Potim,2022,3565.00,89.00,,,,,
Potirendaba,2022,6000.00,,,,,,
Pracinha,2022,412.00,,,,,,
Pradópolis,2022,4700.00,,,,,,
Praia Grande,2022,151883.20,2005.60,950.50,440.90,316.70,232.80,64.70
Pratânia,2022,1600.00,49.00,10.00,30.00,4.00,4.00,1.00
Presidente Alves,2022,602.00,14.00,2.00,3.00,7.00,1.00,1.00
Presidente Bernardes,2022,2730.00,270.00,,,,,
Presidente Epitácio,2022,12857.50,1319.30,360.60,261.50,201.80,320.70,174.70
Presidente Prudente,2022,104300.00,5220.00,,,,,
Presidente Venceslau,2022,10335.00,235.00,100.00,40.00,60.00,25.00,10.00
Promissão,2022,6553.30,300.00,75.90,12.90,147.30,60.30,3.60
Quadra,2022,1050.00,126.00,35.00,39.00,43.00,1.00,8.00
Quatá,2022,6000.00,,,,,,
Queluz,2022,1660.00,,,,,,
Quintana,2022,3724.00,235.00,152.00,24.00,31.00,4.00,24.00
Rafard,2022,3400.00,,,,,,
Rancharia,2022,6004.00,111.00,111.00,0.00,0.00,0.00,0.00
Redenção da Serra,2022,1060.40,,,,,,
Regente Feijó,2022,6602.00,115.00,45.00,40.00,0.00,20.00,10.00
Reginópolis,2022,1600.00,,,,,,
Registro,2022,14321.00,415.00,159.00,99.00,82.00,75.00,0.00
Restinga,2022,810.00,55.00,,,,,
Ribeira,2022,430.00,,,,,,
Ribeirão Bonito,2022,1200.00,,,,,,
Ribeirão Branco,2022,2987.60,,,,,,
Ribeirão Corrente,2022,1451.10,,,,,,
Ribeirão do Sul,2022,1152.00,49.00,,,,,
Ribeirão Grande,2022,970.00,180.00,40.00,29.00,35.00,40.00,36.00
Ribeirão Pires,2022,34742.20,308.00,145.50,42.40,27.80,76.60,15.70
Ribeirão Preto,2022,242063.70,1208.20,,,,,
Riversul,2022,580.00,90.00,32.00,35.00,11.00,4.00,8.00
Rifaina,2022,2448.00,19.00,5.00,3.00,8.00,1.00,2.00
Rincão,2022,1934.00,11.00,,,,,
Rinópolis,2022,4379.80,1118.00,1118.00,0.00,0.00,0.00,0.00
Rio Claro,2022,71690.10,1440.00,466.00,400.00,191.00,383.00,0.00
Rio das Pedras,2022,7834.00,,,,,,
Rio Grande da Serra,2022,8137.00,,,,,,
Riolândia,2022,1241.00,9.50,5.00,3.00,1.00,0.50,0.00
Rosana,2022,7200.00,1200.00,,,,,
Roseira,2022,1680.00,,,,,,
Rubiácea,2022,384.00,,,,,,
Rubinéia,2022,800.00,,,,,,
Sabino,2022,1224.80,54.70,31.20,11.50,5.30,6.70,0.00
Sagres,2022,360.00,1.00,0.00,0.00,0.00,0.00,1.00
Sales,2022,2980.00,,,,,,
Sales Oliveira,2022,5152.20,,,,,,
Salesópolis,2022,2979.50,372.30,188.40,97.00,33.70,49.70,3.50
Salmourão,2022,1137.00,120.00,,,,,
Saltinho,2022,2379.00,94.00,,,,,
Salto,2022,42619.50,2346.40,359.00,259.00,159.00,142.00,1427.40
Salto de Pirapora,2022,11513.00,163.00,88.00,40.00,18.00,15.00,2.00
Salto Grande,2022,724.00,5.00,1.00,1.00,1.00,1.00,1.00
Sandovalina,2022,487.00,4.40,2.30,1.30,0.00,0.00,0.80
Santa Adélia,2022,3279.10,100.00,,,,,
Santa Albertina,2022,1440.00,8.00,2.00,2.00,2.00,2.00,0.00
Santa Bárbara D Oeste,2022,58000.00,283.00,110.00,110.00,1.00,44.00,18.00
Santa Branca,2022,3747.00,,,,,,
Santa Clara D Oeste,2022,800.00,11.40,2.00,2.00,5.00,1.20,1.20
Santa Cruz da Conceição,2022,1650.00,,,,,,
Santa Cruz da Esperança,2022,700.00,,,,,,
Santa Cruz das Palmeiras,2022,8069.50,64.00,20.70,16.10,3.40,4.10,19.70
Santa Cruz do Rio Pardo,2022,13297.50,5.80,0.80,3.00,0.10,0.70,1.20
Santa Ernestina,2022,1750.00,,,,,,
Santa Fé do Sul,2022,10296.00,567.00,80.00,182.00,102.00,91.00,112.00
Santa Gertrudes,2022,7520.90,82.00,,,,,
Santa Isabel,2022,17830.10,504.90,,,,,
Santa Lúcia,2022,771.00,,,,,,
Santa Maria da Serra,2022,1783.00,29.00,7.00,9.00,8.00,4.00,1.00
Santa Mercedes,2022,601.00,18.00,10.00,5.00,2.00,0.00,1.00
Santana da Ponte Pensa,2022,300.00,9.50,4.00,4.00,0.50,0.00,1.00
Santana de Parnaíba,2022,80180.00,3052.00,1530.00,520.00,115.00,757.00,130.00
Santa Rita D Oeste,2022,1251.10,30.00,,,,,
Santa Rita do Passa Quatro,2022,7508.10,150.00,20.00,50.00,80.00,0.00,0.00
Santa Rosa de Viterbo,2022,4718.40,,,,,,
Santa Salete,2022,356.00,2.00,0.50,0.50,1.00,0.00,0.00
Santo Anastácio,2022,2872.30,192.00,82.80,55.50,21.70,32.00,0.00
Santo André,2022,227350.00,3741.00,1584.00,768.00,376.00,836.00,177.00
Santo Antônio da Alegria,2022,1000.00,25.00,5.00,5.00,5.00,5.00,5.00
Santo Antônio de Posse,2022,5658.00,453.00,220.00,65.00,80.00,78.00,10.00
Santo Antônio do Aracanguá,2022,2376.00,,,,,,
Santo Antônio do Pinhal,2022,1798.10,200.00,100.00,60.00,30.00,8.00,2.00
Santo Expedito,2022,921.20,92.70,36.20,16.20,21.50,18.80,0.00
Santópolis do Aguapeí,2022,1440.00,,,,,,
Santos,2022,206607.80,17710.00,10485.00,2180.00,4073.00,972.00,0.00
São Bento do Sapucaí,2022,3000.00,275.00,100.00,29.00,50.00,66.00,30.00
São Bernardo do Campo,2022,273517.40,5430.30,,,,,
São Caetano do Sul,2022,57667.60,1156.40,521.60,196.80,106.80,328.00,3.20
São Carlos,2022,68174.00,347.80,157.20,58.30,78.50,51.30,2.50
São Francisco,2022,365.00,,,,,,
São João da Boa Vista,2022,23209.30,284.80,142.30,61.30,53.40,17.80,10.00
São João das Duas Pontes,2022,570.00,,,,,,
São João do Pau d Alho,2022,950.00,38.00,,,,,
São Joaquim da Barra,2022,13900.00,380.00,70.00,70.00,80.00,80.00,80.00
São José da Bela Vista,2022,800.00,,,,,,
São José do Barreiro,2022,695.00,,,,,,
São José do Rio Pardo,2022,14400.00,,,,,,
São José do Rio Preto,2022,179017.20,19609.30,10456.20,1446.10,2900.00,3742.00,1065.00
São José dos Campos,2022,184447.90,10799.00,2203.00,1014.00,351.00,693.00,6538.00
São Lourenço da Serra,2022,5350.00,,,,,,
São Luís do Paraitinga,2022,1796.20,5.00,1.00,1.00,1.00,1.00,1.00
São Manuel,2022,8804.00,666.00,327.00,171.00,47.00,99.00,22.00
São Miguel Arcanjo,2022,4200.00,120.00,10.00,25.00,40.00,25.00,20.00
São Paulo,2022,4119170.20,31683.70,19950.60,5989.80,1598.00,4099.30,46.00
São Pedro,2022,10361.00,120.00,36.00,42.00,11.00,31.00,0.00
São Pedro do Turvo,2022,2400.00,220.00,100.00,60.00,20.00,20.00,20.00
São Roque,2022,22085.70,590.00,210.00,195.00,85.00,100.00,0.00
São Sebastião,2022,58943.90,5272.30,,,,,
São Sebastião da Grama,2022,3937.00,,,,,,
São Simão,2022,3700.00,,,,,,
São Vicente,2022,86716.00,1164.00,375.00,199.00,283.00,125.00,182.00
Sarapuí,2022,1610.00,41.30,15.00,9.60,3.90,7.80,5.00
Sarutaiá,2022,774.50,72.00,,,,,
Sebastianópolis do Sul,2022,800.00,80.00,10.00,30.00,20.00,10.00,10.00
Serra Azul,2022,2505.60,,,,,,
Serrana,2022,30000.00,,,,,,
Serra Negra,2022,7540.20,,,,,,
Sertãozinho,2022,34948.00,706.00,228.00,364.00,52.40,61.60,0.00
Sete Barras,2022,4308.30,37.00,,,,,
Severínia,2022,4630.00,,,,,,
Silveiras,2022,1080.00,,,,,,
Socorro,2022,9490.00,840.00,360.00,204.00,84.00,192.00,0.00
Sorocaba,2022,236624.70,4203.60,1751.70,1162.20,9.00,797.00,483.70
Sud Mennucci,2022,1239.00,,,,,,
Sumaré,2022,67680.00,,,,,,
Suzano,2022,86104.10,238.10,140.90,17.30,31.60,45.70,2.60
Suzanápolis,2022,1245.50,45.00,10.00,10.00,10.00,5.00,10.00
Tabapuã,2022,2500.00,,,,,,
Tabatinga,2022,3600.00,107.00,21.00,27.00,49.00,2.00,8.00
Taboão da Serra,2022,82643.70,421.50,234.80,128.00,8.90,45.20,4.60
Taciba,2022,1219.00,193.00,39.00,42.00,31.00,45.00,36.00
Taguaí,2022,4081.10,490.00,197.60,170.00,76.60,45.80,0.00
Taiaçu,2022,1087.20,,,,,,
Taiúva,2022,444.00,170.00,,,,,
Tambaú,2022,6150.00,,,,,,
Tanabi,2022,11281.00,147.60,,,,,
Tapiraí,2022,837.60,68.10,22.10,23.60,22.20,0.20,0.00
Tapiratiba,2022,3709.20,31.80,,,,,
Taquaral,2022,620.00,,,,,,
Taquaritinga,2022,12500.00,,,,,,
Taquarituba,2022,6900.00,800.00,20.00,100.00,100.00,100.00,480.00
Taquarivaí,2022,1500.00,,,,,,
Tarabai,2022,3079.90,76.60,,,,,
Tarumã,2022,3171.00,407.00,172.00,108.00,1.00,0.00,126.00
Tatuí,2022,29654.00,151.60,40.50,13.00,10.80,2.30,85.00
Taubaté,2022,101081.90,1319.70,,,,,
Tejupá,2022,1075.00,15.00,,,,,
Teodoro Sampaio,2022,13140.00,26.00,10.00,4.00,4.00,4.00,4.00
Terra Roxa,2022,1982.00,29.00,2.00,5.00,20.00,2.00,0.00
Tietê,2022,11317.60,87.90,39.70,29.20,5.80,13.20,0.00
Timburi,2022,647.00,15.00,5.00,6.00,2.00,2.00,0.00
Torre de Pedra,2022,505.00,4.00,,,,,
Torrinha,2022,2702.00,,,,,,
Trabiju,2022,545.00,,,,,,
Tremembé,2022,16360.00,,,,,,
Três Fronteiras,2022,2503.00,,,,,,
Tuiuti,2022,1370.00,,,,,,
Tupã,2022,21834.70,518.20,241.30,101.00,10.90,164.00,1.00
Tupi Paulista,2022,4920.00,227.00,82.00,50.00,20.00,60.00,15.00
Turiúba,2022,730.00,,,,,,
Turmalina,2022,302.90,,,,,,
Ubarana,2022,2519.00,,,,,,
Ubatuba,2022,50804.00,360.00,95.00,70.00,25.00,170.00,0.00
Ubirajara,2022,1675.20,287.90,99.40,124.60,15.60,9.00,39.30
Uchoa,2022,2150.00,,,,,,
União Paulista,2022,445.00,,,,,,
Urânia,2022,1519.00,,,,,,
Uru,2022,260.00,20.00,9.00,7.00,3.00,0.50,0.50
Urupês,2022,4369.00,,,,,,
Valentim Gentil,2022,5458.40,244.20,170.60,46.40,17.80,6.90,2.50
Valinhos,2022,40460.20,781.60,453.10,134.50,63.70,130.30,0.00
Valparaíso,2022,5415.00,28.00,11.00,7.00,5.00,3.00,2.00
Vargem Grande do Sul,2022,12840.00,84.30,17.50,25.10,31.50,10.20,0.00
Vargem Grande Paulista,2022,14283.10,,,,,,
Várzea Paulista,2022,27798.00,157.40,54.10,29.30,29.50,44.50,0.00
Vera Cruz,2022,2354.70,185.00,,,,,
Vinhedo,2022,35672.10,1475.00,743.00,260.00,86.00,386.00,0.00
Viradouro,2022,4210.00,2.50,1.00,0.50,1.00,0.00,0.00
Vista Alegre do Alto,2022,5830.00,,,,,,
Vitória Brasil,2022,514.00,48.00,4.00,4.00,40.00,0.00,0.00
Votorantim,2022,44875.00,1800.00,,,,,
Votuporanga,2022,29521.00,180.00,50.00,35.00,29.00,65.00,1.00
Zacarias,2022,750.00,,,,,,
Chavantes,2022,2400.00,,,,,,
Estiva Gerbi,2022,2295.80,,,,,,